CAN,US,Virulence,Yr1,Yr5,Yr6,Yr7,Yr8,Yr9,Yr10,Yr15,Yr17,Yr24,Yr27,Yr32,Yr43,Yr44,YrSP,YrTr1,YrExp2,YrTye,
-,PSTv-001,1,v,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,
-,PSTv-002,"1,6,9,17,Tye",v,a,v,a,a,v,a,a,v,a,a,a,a,a,a,a,a,v,
-,PSTv-003,"1,6,8,9,17,27,Tye",v,a,v,a,v,v,a,a,v,a,v,a,a,a,a,a,a,v,
-,PSTv-004,"1,6,9,17,27,SP,Tye",v,a,v,a,a,v,a,a,v,a,v,a,a,a,v,a,a,v,
-,PSTv-005,"1,6,7,8,9,17,27,44",v,a,v,v,v,v,a,a,v,a,v,a,a,v,a,a,a,a,
-,PSTv-006,"1,6,7,8,9,27,43,SP",v,a,v,v,v,v,a,a,a,a,v,a,v,a,v,a,a,a,
-,PSTv-007,"1,6,8,9,17,27,43,44,Exp2",v,a,v,a,v,v,a,a,v,a,v,a,v,v,a,a,v,a,
-,PSTv-008,"1,7,8,9,17,27,44,Exp2,Tye",v,a,a,v,v,v,a,a,v,a,v,a,a,v,a,a,v,v,
-,PSTv-009,"1,6,7,8,9,10,17,27,44,Tye",v,a,v,v,v,v,v,a,v,a,v,a,a,v,a,a,a,v,
-,PSTv-010,"1,6,8,9,17,27,43,SP,Exp2",v,a,v,a,v,v,a,a,v,a,v,a,v,a,v,a,v,v,
-,PSTv-011,"1,6,7,8,9,17,27,43,44,Exp2,Tye",v,a,v,v,v,v,a,a,v,a,v,a,v,v,a,a,v,v,
-,PSTv-012,"1,6,7,8,9,17,43,44,Tr1,Exp2,Tye",v,a,v,v,v,v,a,a,v,a,a,a,v,v,a,v,v,v,
-,PSTv-013,"1,6,7,8,9,17,27,43,44,SP,Tye",v,a,v,v,v,v,a,a,v,a,v,a,v,v,v,a,a,v,
-,PSTv-014,"1,6,7,8,9,17,27,43,44,Tr1,Exp2,Tye",v,a,v,v,v,v,a,a,v,a,v,a,v,v,a,v,v,v,
-,PSTv-015,"1,6,7,9,17,27,43,44,SP,Exp2,Tye",v,a,v,v,a,v,a,a,v,a,v,a,v,v,v,a,v,v,
-,PSTv-016,"1,6,7,8,9,10,24,32,43,44,Tr1,Exp2",v,a,v,v,v,v,v,a,a,v,a,v,v,v,a,v,v,a,
-,PSTv-017,"1,6,7,8,9,17,27,43,44,SP,Exp2,Tye",v,a,v,v,v,v,a,a,v,a,v,a,v,v,v,a,v,v,
-,PSTv-020,17,a,a,a,a,a,a,a,a,v,a,a,a,a,a,a,a,a,a,
-,PSTv-022,"8,17",a,a,a,a,v,a,a,a,v,a,a,a,a,a,a,a,a,a,
-,PSTv-023,"24,32",a,a,a,a,a,a,v,a,a,v,a,v,a,a,a,a,a,a,
-,PSTv-026,"6,10,24,27,32",a,a,v,a,a,a,v,a,a,v,v,v,a,a,a,a,a,a,
-,PSTv-027,"10,17,24,27,Tr1",a,a,a,a,a,a,v,a,v,v,v,a,a,a,a,v,a,a,
-,PSTv-029,"6,7,17,27,44,Exp2",a,a,v,v,a,a,a,a,v,a,v,a,a,v,a,a,v,a,
-,PSTv-032,"6,7,8,9,43,44,Tr1,Exp2",a,a,v,v,v,v,a,a,a,a,a,a,v,v,a,v,v,a,
-,PSTv-033,"6,7,8,9,27,44,Tr1,Exp2",a,a,v,v,v,v,a,a,a,a,v,a,a,v,a,v,v,a,
-,PSTv-035,"6,7,8,9,17,43,44,Tr1,Exp2",a,a,v,v,v,v,a,a,v,a,a,a,v,v,a,v,v,a,
-,PSTv-036,"6,7,8,9,27,43,44,Tr1,Exp2",a,a,v,v,v,v,a,a,a,a,v,a,v,v,a,v,v,a,
-,PSTv-042,"1,7,8,9,17,27,44,Tye",v,a,a,v,v,v,a,a,v,a,v,a,a,v,a,a,a,v,
-,PSTv-043,"1,7,8,9,27,44,Tye",v,a,a,v,v,v,a,a,a,a,v,a,a,v,a,a,a,v,
-,PSTv-044,"1,7,8,9,27,44,Exp2,Tye",v,a,a,v,v,v,a,a,a,a,v,a,a,v,a,a,v,v,
-,PSTv-045,"6,7,8,9,10,27,44,Tr1,Exp2",a,a,v,v,v,v,v,a,a,a,v,a,a,v,a,v,v,a,
-,PSTv-046,"1,6,9,17,27,Tye",v,a,v,a,a,v,a,a,v,a,v,a,a,a,a,a,a,v,
-,PSTv-047,"1,6,7,8,9,17,27,43,44,Tr1,Exp2",v,a,v,v,v,v,a,a,v,a,v,a,v,v,a,v,v,a,
-,PSTv-048,"1,6,9,Tye",v,a,v,a,a,v,a,a,a,a,a,a,a,a,a,a,a,v,
-,PSTv-049,"1,6,7,8,9,10,17,24,27,32,43,44,Tr1,Exp2,Tye",v,a,v,v,v,v,v,a,v,v,v,v,v,v,a,v,v,v,
-,PSTv-050,"1,6,7,8,9,10,17,27,43,44,SP,Tr1,Exp2,Tye",v,a,v,v,v,v,v,a,v,a,v,a,v,v,v,v,v,v,
-,PSTv-051,"1,6,7,8,9,10,17,24,27,32,43,44,SP,Tr1,Exp2,Tye",v,a,v,v,v,v,v,a,v,v,v,v,v,v,v,v,v,v,
-,PSTv-053,"1,6,9,SP,Tye",v,a,v,a,a,v,a,a,a,a,a,a,a,a,v,a,a,v,
-,PSTv-054,"6,17,27,Tr1",a,a,v,a,a,a,a,a,v,a,v,a,a,a,a,v,a,a,
-,PSTv-055,"1,6,7,17,Exp2",v,a,v,v,a,a,a,a,v,a,a,a,a,a,a,a,v,a,
-,PSTv-056,"6,7,17,27,Tr1",a,a,v,v,a,a,a,a,v,a,v,a,a,a,a,v,a,a,
-,PSTv-057,"6,7,17,27",a,a,v,v,a,a,a,a,v,a,v,a,a,a,a,a,a,a,
-,PSTv-058,"7,Tr1,Exp2",a,a,a,v,a,a,a,a,a,a,a,a,a,a,a,v,a,v,
-,PSTv-059,"6,17,Tr1,Tye",a,a,v,a,a,a,a,a,v,a,a,a,a,a,a,v,a,v,
-,PSTv-060,"7,17,27,Tr1,Exp2",a,a,a,v,a,a,a,a,v,a,v,a,a,a,a,v,v,a,
-,PSTv-061,"10,24,32,Tr1",a,a,a,a,a,a,v,a,a,v,a,v,a,a,a,v,a,a,
-,PSTv-062,"7,17,Exp2",a,a,a,v,a,a,a,a,v,a,a,a,a,a,a,a,v,a,
-,PSTv-064,"6,9",a,a,v,a,a,v,a,a,a,a,a,a,a,a,a,a,a,a,
-,PSTv-065,"6,10",a,a,v,a,a,a,v,a,a,a,a,a,a,a,a,a,a,a,
-,PSTv-066,"6,10,24,32",a,a,v,a,a,a,v,a,a,v,a,v,a,a,a,a,a,a,
-,PSTv-067,"6,10,17,24,32",a,a,v,a,a,a,v,a,v,v,a,v,a,a,a,a,a,a,
